,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
87,2019-06-21,1911.3,1916.1,1925.95,1907.58,3930000.0,6,2019,1835.5117941840767,1915.2324999999998,-0.001358482679345907,Slight or No change
88,2019-06-20,1918.19,1933.33,1935.2,1905.8,3220000.0,6,2019,1836.4407627887501,1923.13,0.00360487626223005,Slight or No change
89,2019-06-19,1908.79,1907.84,1919.58,1892.47,2900000.0,6,2019,1837.1655547878956,1907.17,-0.0049004530312430905,Slight or No change
90,2019-06-18,1901.37,1901.35,1921.67,1899.79,3900000.0,6,2019,1838.0190462880905,1906.0449999999998,-0.0038872793759398006,Slight or No change
91,2019-06-17,1886.03,1876.5,1895.69,1875.45,2630000.0,6,2019,1838.4456156886592,1883.4174999999998,-0.008067866853900041,Slight or No change
92,2019-06-14,1869.67,1864.0,1876.0,1859.0,2850000.0,6,2019,1838.7433788395904,1867.1675,-0.008674305286766382,Slight or No change
93,2019-06-13,1870.3,1866.72,1883.09,1862.22,2800000.0,6,2019,1839.0362865477691,1870.5825,0.00033695785887344343,Slight or No change
94,2019-06-12,1855.32,1853.98,1865.0,1844.38,2680000.0,6,2019,1839.179679963199,1854.67,-0.008009410255039318,Slight or No change
95,2019-06-11,1863.7,1883.25,1893.7,1858.0,4040000.0,6,2019,1839.50091380764,1874.6625,0.004516741047366546,Slight or No change
96,2019-06-10,1860.63,1822.0,1884.87,1818.0,5370000.0,6,2019,1839.8625494820717,1846.375,-0.0016472608252400267,Slight or No change
97,2019-06-07,1804.03,1763.7,1806.25,1759.49,4810000.0,6,2019,1839.3215067805122,1783.3674999999998,-0.03041980404486655,Slight or No change
98,2019-06-06,1754.36,1737.71,1760.0,1726.13,3690000.0,6,2019,1838.3486349107836,1744.55,-0.027532801560949727,Slight or No change
99,2019-06-05,1738.5,1749.6,1752.0,1715.25,4240000.0,6,2019,1837.0519391099267,1738.8375,-0.009040333796940137,Slight or No change
100,2019-06-04,1729.56,1699.24,1730.82,1680.89,5680000.0,6,2019,1835.2138615769034,1710.1275,-0.0051423641069887616,Slight or No change
101,2019-06-03,1692.69,1760.01,1766.29,1672.0,9100000.0,6,2019,1831.4134480030475,1722.7475,-0.0213175605356275,Slight or No change
102,2019-05-31,1775.07,1790.01,1795.59,1772.7,4620000.0,5,2019,1830.660877157478,1783.3425,0.048668096343689626,Slight or No change
103,2019-05-30,1816.32,1825.49,1829.47,1807.83,3150000.0,5,2019,1830.5314542745816,1819.7775,0.02323852017103545,Slight or No change
104,2019-05-29,1819.19,1823.12,1830.0,1807.53,4280000.0,5,2019,1830.3940677006678,1819.9599999999998,0.001580118040873879,Slight or No change
105,2019-05-28,1836.43,1832.75,1849.27,1827.35,3200000.0,5,2019,1830.4482441377763,1836.4500000000003,0.009476745144817222,Slight or No change
106,2019-05-24,1823.28,1835.89,1841.76,1817.85,3370000.0,5,2019,1830.3811208980521,1829.6950000000002,-0.007160632313782722,Slight or No change
107,2019-05-23,1815.48,1836.59,1844.0,1804.2,4420000.0,5,2019,1830.2003326837034,1825.0674999999999,-0.004278004475450792,Slight or No change
108,2019-05-22,1859.68,1851.78,1871.48,1851.0,2940000.0,5,2019,1830.4363305650102,1858.4850000000001,0.024346178421133846,Slight or No change
109,2019-05-21,1857.52,1874.79,1879.0,1846.0,4010000.0,5,2019,1830.7288627915746,1864.3274999999999,-0.0011614901488428142,Slight or No change
110,2019-05-20,1858.97,1852.69,1867.78,1835.54,3800000.0,5,2019,1831.014993867648,1853.745,0.00078061070674873,Slight or No change
111,2019-05-17,1869.0,1893.05,1910.53,1867.33,4740000.0,5,2019,1831.489056345445,1884.9775,0.00539546092728771,Slight or No change
